category,component,usage_percentage
Multi-Monitor Desktop Resolution,4920 x 2160,0.60%
Multi-Monitor Desktop Resolution,5120 x 1440,10.28%
Multi-Monitor Desktop Resolution,5120 x 1600,0.84%
Multi-Monitor Desktop Resolution,5120 x 2880,0.58%
Multi-Monitor Desktop Resolution,5280 x 2560,0.52%
Multi-Monitor Desktop Resolution,5360 x 1440,3.42%
Multi-Monitor Desktop Resolution,5560 x 1920,0.60%
Multi-Monitor Desktop Resolution,5760 x 1080,2.58%
Multi-Monitor Desktop Resolution,5760 x 2160,5.02%
Multi-Monitor Desktop Resolution,6000 x 1440,1.54%
Multi-Monitor Desktop Resolution,6400 x 1440,1.74%
Multi-Monitor Desktop Resolution,6400 x 2160,3.46%
Multi-Monitor Desktop Resolution,7040 x 1440,0.62%
Multi-Monitor Desktop Resolution,7280 x 2160,0.48%
Multi-Monitor Desktop Resolution,7680 x 1440,0.80%
Multi-Monitor Desktop Resolution,7680 x 2160,2.72%
Multi-Monitor Desktop Resolution,Other,51.06%
Language,Simplified Chinese,23.86%
Language,Norwegian,0.12%
Language,Bulgarian,0.05%
Language,Vietnamese,0.20%
Language,Romanian,0.14%
Language,Portuguese - Portugal,0.36%
Language,Dutch,0.26%
Language,French,2.42%
Language,Korean,2.40%
Language,German,2.99%
Language,Japanese,2.86%
Language,Portuguese-Brazil,3.92%
Language,Spanish - Spain,4.22%
Language,Russian,10.12%
Language,Czech,0.58%
Language,Polish,1.68%
Language,Hungarian,0.39%
Language,Traditional Chinese,1.33%
Language,Swedish,0.26%
Language,Turkish,1.29%
Language,Danish,0.22%
Language,Thai,0.91%
Language,Finnish,0.16%
Language,Ukrainian,0.71%
Language,Indonesian,0.14%
Language,Spanish - Latin America,0.68%
Language,Greek,0.06%
Language,Italian,0.64%
Language,Arabic,0.00%
Language,English,37.01%
Free Hard Drive Space,Unspecified,0.00%
Free Hard Drive Space,Less than 10 GB,0.84%
Free Hard Drive Space,10 GB to  99 GB,15.07%
Free Hard Drive Space,100 GB to 249 GB,22.59%
Free Hard Drive Space,250 GB to 499 GB,22.46%
Free Hard Drive Space,500 GB to 749 GB,11.26%
Free Hard Drive Space,750 GB to 999 GB,9.24%
Free Hard Drive Space,1 TB to 2 TB,10.24%
Free Hard Drive Space,2 TB to 3 TB,2.53%
Free Hard Drive Space,3 TB to 4 TB,1.92%
Free Hard Drive Space,Above 4 TB,3.84%
Total Hard Drive Space,Unspecified,0.05%
Total Hard Drive Space,Less than 10 GB,0.00%
Total Hard Drive Space,10 GB to  99 GB,0.20%
Total Hard Drive Space,100 GB to 249 GB,5.40%
Total Hard Drive Space,250 GB to 499 GB,16.90%
Total Hard Drive Space,500 GB to 749 GB,2.42%
Total Hard Drive Space,750 GB to 999 GB,22.70%
Total Hard Drive Space,Above 1 TB,52.33%
VR Headsets,Meta Quest 3,28.17%
VR Headsets,Oculus Quest 2,23.77%
VR Headsets,Meta Quest 3S,12.29%
VR Headsets,Valve Index HMD,11.49%
VR Headsets,Oculus Rift S,4.16%
VR Headsets,Pico 4,4.04%
VR Headsets,HTC Vive,2.51%
VR Headsets,Sony PS VR2,2.21%
VR Headsets,Windows Mixed Reality,2.14%
VR Headsets,Oculus Rift,1.99%
VR Headsets,Meta Quest Pro,1.24%
VR Headsets,Bigscreen Beyond,0.89%
VR Headsets,HTC Vive Pro,0.71%
VR Headsets,HTC Vive Pro 2,0.64%
VR Headsets,Pimax HMD,0.59%
VR Headsets,Oculus Quest,0.56%
VR Headsets,Pico Neo 3,0.55%
VR Headsets,iVRy,0.34%
VR Headsets,HTC VIVE XR Elite,0.25%
VR Headsets,HTC Vive Focus Vision,0.22%
VR Headsets,Riftcat Vridge,0.14%
VR Headsets,HTC Vive Cosmos,0.13%
VR Headsets,Varjo Aero,0.06%
VR Headsets,Sony PlayStation VR,0.04%
VR Headsets,Pico Neo 2,0.02%
VR Headsets,Oculus Rift DK2,0.01%
VR Headsets,Other,0.81%
VR Headsets,Steam users with VR Headsets,1.77%
Other Settings,AVX512VNNI,21.67%
Other Settings,SHA,77.42%
Other Settings,FMA,95.29%
Other Settings,SSE2,98.49%
Other Settings,NTFS,94.52%
Other Settings,BMI2,95.00%
Other Settings,AVX,97.22%
Other Settings,LAHF / SAHF,98.49%
Other Settings,SSE4.2,98.33%
Other Settings,SSE4a,43.19%
Other Settings,SSE4.1,98.38%
Other Settings,SSSE3,98.41%
Other Settings,SSE3,98.49%
Other Settings,AES,97.55%
Other Settings,AVX2,95.11%
Other Settings,CMPXCHG16B,98.49%
Other Settings,AVX512F,21.64%
Other Settings,PrefetchW,0.00%
Other Settings,AVX512PF,0.00%
Other Settings,BMI1,95.33%
Other Settings,AVX512ER,0.00%
Other Settings,F16C,96.45%
Other Settings,AVX512CD,21.64%
Other Settings,HyperThreading,88.61%
Other Settings,FCMOV,9.38%
