app_id,game_name,os,processor,memory,graphics,directx,storage
284160,BeamNG.drive,Windows 10 64 Bit,AMD Ryzen 7 3700X / Intel Core i7 9700,32 GB RAM,Minimum 8GB VRAM (AMD RX 6700 / Nvidia GeForce RTX 3060),Version 11,"60 GB available space
VR Support:
10GB VRAM GPU with Vulkan support and OpenXR"
427520,Factorio,"Windows 11, 10",Quad core 4Ghz+ from 2020 or newer,16 GB RAM,,"11 capable GPU with 4 GB VRAM - GeForce GTX 1050 Ti, Radeon RX 570, Intel Arc
DirectX:
Version 11",10 GB available space
1158310,Crusader Kings III,Windows® 10 Home 64 bit or Windows® 11,Intel Core i5-8400 | AMD Ryzen 5 1600X,16 GB RAM,NVIDIA GeForce GTX 970 | AMD Radeon RX 480 | Intel Arc A580,,20 GB available space
518790,theHunter: Call of the Wild™,64bit OS - Windows 10,Intel i7 quad-core,8 GB RAM,NVidia GTX 760 / R9 270x - 4GB VRAM,,60 GB available space
3059520,F1® 25,Windows 10 64-bit Version 21H1 or newer,Intel Core i5-9600k or AMD Ryzen 5 2600X,16 GB RAM,NVIDIA RTX 2070 (+VR) | RTX 3070 (RT) // AMD RX 6600XT | RX 6700XT (VR) | RX 6800 (RT) // Intel Arc A580 (VR/RT),"Version 12
Network:
Broadband Internet connection",100 GB available space
359550,Tom Clancy's Rainbow Six® Siege X,Windows 11 (64-bit versions),AMD Ryzen5 3600 / Intel i5-10400,8 GB RAM,NVIDIA RTX 2060 6GB / AMD RX 6600 8GB,"Version 12
Network:
Broadband Internet connection",65 GB available space
2129530,REANIMAL,Windows 10/11,Ryzen 5 3600X / Core i7-7700KTBD,16 GB RAM,GeForce RTX 2060 / Radeon RX 6600XTTBD,"Version 12
Network:
Broadband Internet connection",18 GB available space
3450310,Europa Universalis V,Windows® 11,Intel® Core™ i7-14700K | AMD® Ryzen™ 7 7800X3D,32 GB RAM,Nvidia® GeForce™ RTX 3060 Ti (8GB) | AMD® Radeon™ RX 6700 XT (12 GB),,20 GB available space
250900,The Binding of Isaac: Rebirth,"*:
Windows 8 / 7 / Vista / XP",2.4 GHz Quad Core 2.0 (or higher),8 GB RAM,"Intel HD Graphics 4000 and higher, ATI Radeon HD-Series 4650 and higher, Nvidia GeForce 2xx-Series and up",,449 MB available space
1030840,Mafia: Definitive Edition,Windows 10 64-bit,Intel Core-i7 3770 3.4GHz / AMD FX-8350 4.2GHz,16 GB RAM,NVIDIA GeForce GTX 1080 / AMD Radeon RX 5700,Version 11,50 GB available space
1326470,Sons Of The Forest,64-bit Windows 10,INTEL CORE I7-8700K or AMD RYZEN 5 3600X,16 GB RAM,NVIDIA GeForce 1080Ti  or AMD Radeon RX 5700 XT,Version 11,20 GB available space
1941540,Mafia: The Old Country,Windows 10 / 11,AMD Ryzen 7 5800X / Intel Core i7-12700K,32 GB RAM,AMD Radeon RX 6950 XT / NVIDIA RTX 3080 Ti,Version 12,55 GB available space
239140,Dying Light,"*:
Windows® 7 64-bit / Windows® 8 64-bit / Windows® 8.1 64-bit",Intel® Core™ i5-4670K @3.4 GHz / AMD FX-8350 @4.0 GHz,"8 GB RAM DDR3
Hard Drive:
40 GB free space",NVIDIA® GeForce® GTX 780 / AMD Radeon™ R9 290 (2GB VRAM),"®:
Version 11
Sound:
DirectX® compatible
Additional Notes:
Laptop versions of","40 GB free space
Graphics:
NVIDIA® GeForce® GTX 780 / AMD Radeon™ R9 290 (2GB VRAM)
DirectX®:
Version 11
Sound:
DirectX® compatible"
2139460,Once Human,Windows 10 64-bit Operating System,Intel Core i7-7700,16 GB RAM,Nvidia GTX 1060 6G / AMD Radeon RX 580 2304SP / Intel ARC A380,"Version 12
Network:
Broadband Internet connection",90 GB available space
3932890,Escape from Tarkov,Windows 11,Intel Core i7-14700F or better,64 GB RAM,RTX 4070 or better,Version 11,80 GB available space
